stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-05-30 04:31:00,425.46,425.64,425.46,425.64,179
MSFT,2024-05-30 04:30:00,425.41,425.41,425.3,425.32,403
MSFT,2024-05-30 04:29:00,425.43,425.43,425.4,425.4,228
MSFT,2024-05-30 04:28:00,425.44,425.49,425.4,425.44,365
MSFT,2024-05-30 04:27:00,425.44,425.49,425.44,425.44,190
MSFT,2024-05-30 04:26:00,425.51,425.51,425.4,425.45,267
MSFT,2024-05-30 04:25:00,425.63,425.63,425.63,425.63,4
MSFT,2024-05-30 04:24:00,425.63,425.65,425.63,425.65,210
MSFT,2024-05-30 04:23:00,425.51,425.66,425.51,425.51,64
MSFT,2024-05-30 04:22:00,425.51,425.51,425.46,425.46,27
MSFT,2024-05-30 04:21:00,425.64,425.69,425.51,425.51,126
MSFT,2024-05-30 04:20:00,425.5,425.66,425.5,425.66,396
MSFT,2024-05-30 04:19:00,425.49,425.49,425.49,425.49,51
MSFT,2024-05-30 04:18:00,425.27,425.27,425.27,425.27,10
MSFT,2024-05-30 04:17:00,425.4,425.4,425.4,425.4,2
MSFT,2024-05-30 04:16:00,425.39,425.39,425.23,425.23,6
MSFT,2024-05-30 04:15:00,425.21,425.4,425.21,425.23,28
MSFT,2024-05-30 04:14:00,425.16,425.3,425.11,425.3,126
MSFT,2024-05-30 04:13:00,425.19,425.26,425.16,425.16,55
MSFT,2024-05-30 04:11:00,425.17,425.17,425.17,425.17,2
MSFT,2024-05-30 04:10:00,425.26,425.26,425.16,425.16,4
MSFT,2024-05-30 04:09:00,425.03,425.2,425.03,425.16,180
MSFT,2024-05-30 04:08:00,425.07,425.07,425.07,425.07,1
MSFT,2024-05-30 04:07:00,425.07,425.07,425.07,425.07,11
MSFT,2024-05-30 04:06:00,425.0,425.14,424.96,425.14,71
MSFT,2024-05-30 04:05:00,425.4,425.4,424.94,425.1,359
MSFT,2024-05-30 04:04:00,425.14,425.14,425.02,425.12,187
MSFT,2024-05-30 04:03:00,425.1,425.16,425.03,425.16,127
MSFT,2024-05-30 04:02:00,425.3,425.43,425.01,425.29,534
MSFT,2024-05-30 04:01:00,425.1,425.5,425.1,425.28,69
MSFT,2024-05-30 04:00:00,425.5,425.5,425.02,425.32,352
MSFT,2024-05-29 19:59:00,425.24,425.56,425.0,425.28,763
MSFT,2024-05-29 19:58:00,425.3,425.56,425.25,425.48,11
MSFT,2024-05-29 19:57:00,425.18,425.28,425.01,425.19,4555
MSFT,2024-05-29 19:56:00,425.19,425.19,425.09,425.18,198
MSFT,2024-05-29 19:55:00,425.095,425.19,425.0,425.19,201
MSFT,2024-05-29 19:54:00,425.19,425.19,425.095,425.095,30
MSFT,2024-05-29 19:53:00,425.0,425.19,425.0,425.19,573
MSFT,2024-05-29 19:52:00,425.19,425.19,425.0,425.0,2542
MSFT,2024-05-29 19:51:00,425.19,425.19,425.0,425.19,6080
MSFT,2024-05-29 19:50:00,425.03,425.19,425.03,425.19,1047
MSFT,2024-05-29 19:49:00,425.19,425.19,425.11,425.11,847
MSFT,2024-05-29 19:48:00,425.19,425.19,425.04,425.11,347
MSFT,2024-05-29 19:47:00,425.19,425.19,425.04,425.04,445
